,Zygote,2-cell,4-cell,8-cell,Morula,Blastocyst
Gsk3b,0.55446906,0.694933644,0.774366436,0.851892046,1.081050208,2.043288607
Faf2,0.924369672,0.782795939,0.814655873,0.992815938,0.965064368,1.520298212
Sco1,0.861086033,0.935252535,0.84216527,0.991442493,0.99990086,1.370152812
Psmb1,0.809873881,0.82892425,0.864930709,0.907176306,1.069019931,1.520074924
Cwc15,0.621048566,0.537616868,0.691606701,0.814953986,1.150057273,2.184716607
Ccdc72;Gm15431,0.50302346,0.481172193,0.536275662,0.675982525,1.266017324,2.537528837
AK010878,0.475837366,0.502183081,0.758143455,0.836616301,1.075735767,2.351484032
Pddc1,0.765759339,0.818185882,0.782983375,0.854817329,0.907028658,1.871225419
Ndnl2,0.923179709,0.60800946,0.609095622,0.74675179,1.144046175,1.968917246
Bms1,0.664707953,0.718252809,0.799205518,0.871959835,1.084356449,1.861517438
Pold3,0.86948316,0.807670396,0.630264054,0.790855804,0.990678956,1.911047631
Aimp2,0.849499943,0.842214047,0.974559033,0.951751208,0.981304957,1.400670814
Gtf2e2,0.234521043,0.766812602,0.742067877,0.679809516,0.999582403,2.577206561
Parn,0.540561231,0.470333868,0.465200786,0.480087413,0.833786318,3.210030385
Vars,0.639547509,0.702738609,0.649775049,0.681089305,0.881433072,2.445416457
Csnk1e,0.861793331,0.844931701,0.767442048,0.97014411,1.050816043,1.504872769
Lig3,0.58390773,0.549385057,0.662510237,0.768812535,1.180818096,2.254566346
Npm1,0.290627011,0.34514929,0.49669231,0.583570252,1.295054487,2.988906651
Ran;LOC100045999,0.939214332,0.955468503,0.991832299,0.977160634,0.994125147,1.142199088
Cstf2t,0.823502369,0.805998601,0.839799247,0.75035408,0.961340976,1.819004728
Ndufa9,0.864322781,0.843819319,0.920370217,0.973449955,1.012601279,1.385436451
Dnpep,0.728029914,0.874737691,0.930501346,0.871258256,0.947174797,1.648297998
Ilf3,0.74268655,0.67037284,0.739466846,0.871444843,1.118614286,1.857414636
Atp5b,0.744094756,0.751255357,0.82266889,0.958710231,1.031869128,1.69140164
H2-D1;LOC100045864,0.506460503,0.753286026,0.548751824,0.977666987,0.98682517,2.227009491
Mrpl3,0.673599141,0.613084035,0.668309681,0.575047862,0.901982384,2.567976898
Hnrpll,0.454009072,0.452122865,0.519096303,0.672460089,1.261881799,2.640429872
Sars2,0.808951459,0.869378741,0.818016274,0.868832566,0.936909445,1.697911516
Tomm5,0.743772939,0.934227231,0.856990369,0.915845988,1.007482105,1.54168137
Uqcrc1,0.860152509,0.855160323,0.867212893,0.995079992,1.012616436,1.409777848
Atp5o;LOC100047429,0.791753064,0.74895794,0.876362781,0.923514306,1.045143922,1.614267988
Pdha1,0.780104358,0.943351783,0.849797841,0.931708427,1.014814218,1.480223375
Psmd2,0.86495583,0.89466943,0.888242892,0.834813155,0.978354339,1.538964355
Ythdc1,0.859056145,0.906086612,0.867395926,0.779799369,1.023139601,1.564522349
Tor1aip1,0.818162948,0.816910266,0.932609756,0.973466533,0.937638,1.5212125
Dpp3,0.795466399,0.850512401,0.882924959,0.924650865,0.916360256,1.630085123
Bud31,0.518946763,0.571831036,0.408800513,0.834647661,1.19114488,2.474629149
Ufd1l,0.921595705,0.889896946,0.878350456,0.93283471,1.06040095,1.316921234
BC017158,0.943374934,0.704475077,0.766016583,0.883415986,0.976061338,1.726656084
Hspbp1,0.884548702,0.873972527,0.749472313,0.85323119,0.986400483,1.652374788
Slc16a1,0.796814593,0.819532459,0.923956318,0.961076654,0.926261351,1.572358627
Mepce,0.710412813,0.742342287,0.848928485,0.925417304,1.035446707,1.737452406
Serpinb9b,0.365898533,0.388664023,0.375278071,0.406481847,0.776402083,3.687275444
5730590G19Rik,0.774764721,0.860789818,0.90028306,0.875937969,0.92922904,1.658995392
Tln1,0.730909298,0.71973572,0.712969775,0.753439972,0.896445824,2.186499412
Rell1,0.402095506,0.611237581,0.5881935,0.615038398,0.805566125,2.977868891
Eif4a2,0.893989599,0.88526349,0.835649376,0.815019963,1.000596126,1.56948145
Bend3,0.365957545,0.592775688,0.828666281,0.787552798,1.009172398,2.415875292
Ddx24,0.515746163,0.619095496,0.804367492,0.780778695,1.09532164,2.184690516
Ccdc43,0.552667304,0.737753285,0.399913955,0.513963813,1.27241778,2.523283865
Ints4,0.583410959,0.604485864,0.769566393,0.775651698,1.131751831,2.135133257
Psmd8,0.720465238,0.70568353,0.764915579,0.841572244,1.123143077,1.844220335
Tes,0.740352641,0.666061487,0.666577684,0.645895463,0.923715461,2.357397265
Raly,0.799799313,0.536169528,0.565710474,0.519779047,0.978042635,2.600499005
Cdk7,0.729141711,0.585131749,0.850831537,0.708871482,0.891125892,2.23489763
